video_id,url,title,duration,view_count,channel,channel_id,language_code,transcript
JYjRBzuVFwQ,https://www.youtube.com/shorts/JYjRBzuVFwQ,"""If you had Puerto Rican girls reffing the games..."" 🎤: Chris Distefano #shorts",,192000.0,Comedy Central Stand-Up,@standup,en,"it was great being in a relationship
with her but I didn't know like Latino
women like I didn't know that like
you're under investigation like it's
just when you date a Puerto Rican girl
you need to have the answers quick you
need to like have facts right away
because they will interrogate you and if
you don't have the answers quick you
look like a liar and they watch men they
are designed to watch men watching
waiting that's what they do they make
excellent NFL referees I think if you
had Puerto Rican girls reing the games
you'd have zero Miss calls the whole
season because they see everything so
that's just what could you imagine they
were the refs they would be right there
like um you out of bound stupid no
no I mean for real you out of
bounds I don't need instant replay I I
instantly saw you step out of bound so
you
know I mean I don't even know the rules
just go home
bye you out the game"
Aay2CmDwAoU,https://www.youtube.com/shorts/Aay2CmDwAoU,"""I like professional football."" 🎤: Demetri Martin #shorts",,131000.0,Comedy Central Stand-Up,@standup,en,"I like sports I like professional
football I like to go yeah
wow I like to get to the stadium I like
to get to the stadium to see the games
live you know and I paint my chest
before I leave the
house but I don't have that many friends
you know so I usually just do
punctuation like tack on a group already
in
progress but sometimes
like but sometimes it works out kind of
weird cuz we we ended up on TV one time
and it said uh
Jets"
q9NxddF0Q8Q,https://www.youtube.com/shorts/q9NxddF0Q8Q,"""There's 16,000 white people."" 🎤: Finesse Mitchell #shorts",,85000.0,Comedy Central Stand-Up,@standup,en,"you know I mean Minneapolis Minnesota
let me set this up I'm going into the
Target Center right I'm all excited but
I'm getting a little nervous cuz I'm on
the 10th row and as I look around it's
16,000 white people and I'm like all
right I I can do this this is cool all
right but then I look up in the upper
balcony and I see a couple of black
people all sprinkled out and I'm like
why are y'all up there and they looking
at me like how the hell you get down
there and I'm like forget all that can
you get to me in case something go on
down here I'm only one down here I see
you brother do you see me can you get to
me all right all right all right how you
doing how you doing all
right"
MC1gMSY1tFM,https://www.youtube.com/shorts/MC1gMSY1tFM,“You guys ever rob a house?” 🎤: Ethan Simmons-Patterson #shorts,,52000.0,Comedy Central Stand-Up,@standup,en,"you guys ever rob a house no just me all
right cool I used to think that was a
normal thing people did I thought you
did that in high school I thought
everybody did in high school thought you
went to prom hit puberty robbed a couple
houses you know then I went to college
and I was like you guys ever rob a house
and they were like what and I was like
let's just play beer pong man why we
asking why we talking about high school
what the [ __ ] is going on we weren't
good at robbing houses though we would
Rob like nice white people's houses so
we would just end up learning stuff
about houses that we didn't know you
know like we break into the house and we
like oh
WAOW forget to rob it we would just
leave and be like wow that was a nice
open concept kitchen you know
like that was pretty dope never seen a
backsplash
before yeah I learned a lot about houses
man I didn't know you could have a
finished basement I didn't know that was
a thing I thought all basements came
unfinished and that's where you kept
meats and dogs I didn't know white
people were keeping their horny teenage
Sons down there that's crazy dude just
throwing Hot Pockets at Trevor down the
stairs see"
EBX7LKQapGI,https://www.youtube.com/shorts/EBX7LKQapGI,"""Well, somebody married her ."" 🎤: Erin Jackson #shorts",,62000.0,Comedy Central Stand-Up,@standup,en,"I'm a single lady and I'm not always
happy about it when I get really bummed
out about it one of my favorite things
to do is go couple watching I love it
like I just like to observe couples in
their natural habitat like I'll go to
like a park if the weather's nice or
I'll go to the mall and I'll just watch
the couples walk by okay and then I'll
play a game called well somebody married
her and it
always always makes me feel
better I'm like don't give up e she
found a husband you know yeah"
O4NgR78vNws,https://www.youtube.com/shorts/O4NgR78vNws,“I quit on some boss b*tch sh*t” 🎤:Brandi Denise #shorts,,47000.0,Comedy Central Stand-Up,@standup,en,"I lived in Chicago and I was a social
worker yeah I quit 6 years
ago followed my dreams I'mma tell you I
quit the realest way too I I quit on
some on some bossfit [ __ ] um if you
watching this and you work at DHS what's
up
um but no like I knew I was going to
quit but a week before I quit I I did
like some just real arrogant [ __ ] I got
I do what I want tattooed on the back of
my
neck
it just wore my hair in a ponytail to
work for the rest of the [ __ ] week
they be like Brandy can you fax these
papers I was like
no"
tK3LROtWBMs,https://www.youtube.com/shorts/tK3LROtWBMs,"""I'm trying to help 'em out."" 🎤: Tess #shorts",,76000.0,Comedy Central Stand-Up,@standup,en,"women a lot of women don't talk about
these type of things I'm trying to help
them out like birth control they don't
you can't try everything out there see
cuz when they put it out there they
don't never come back and tell us when
the lab monkey die they just leave
it like that uh what was that that one
you put in your arm you don't have to
worry about getting pregnant for three
years oh you don't have to worry about
no birth control no pregnancy for three
years yeah they right um but I also
didn't have any
eyebrows you
know I had a mysterious lump under one
arm couldn't grow no pubes you
know that's why I didn't get pregnant
for three years I look like a damn freak
that's
why"
AIf6I40S9nw,https://www.youtube.com/shorts/AIf6I40S9nw,"“You know that interview was a son of a b*tch” 🎤: Roy Wood, Jr. #shorts",,2500000.0,Comedy Central Stand-Up,@standup,en,"you got to respect a white person work
at a black history
museum you got to respect that that was
a
choice he white he could work anywhere
he
chose a black history museum you know
that job interview was a son of a
 how many extra questions did he
have to answer cuz you black and old it
ain't to work at the Civil Rights
Museum you just walk in uh that's me on
the
picture
you filling out paperwork for a you on
the
wall but if you white you know they
grilling that dude asking them all kinds
of questions they had nothing to do with
black history all in that dude
face people work looks good everything
checks out real quick uh at what
temperature do you deep fry
[Applause]
catfish"
TWvb-eUr2s4,https://www.youtube.com/shorts/TWvb-eUr2s4,"""You're a bad man."" @jeffdunham I’m With Cupid February 3rd 8/7c Comedy Central. #shorts",,70000.0,Comedy Central Stand-Up,@standup,en,"so cupid aren't greeting cards a good
way of expressing your love for someone
oh sure yeah greeting cards are good for
anybody in fact I've written a feel
myself some greeting cards can you
recite a couple for us sure do you have
one for longtime married couples oh
absolutely here we go our love all these
years has been a blissful occurrence I
wish you would die so I could collect
the
insurance now
okay how about one for younger couples
younger couples great okay leading you
was amazing luck and I think of that
most each time that we whoa whoa whoa
whoa whoa
whoa have dinner what' you think I was
going to
say you're a bad
man"
gU6_5nU4Sl0,https://www.youtube.com/shorts/gU6_5nU4Sl0,"""You guys ready for the little people in the boxes?"" 🎤:@jeffdunham #shorts",,27000.0,Comedy Central Stand-Up,@standup,en,"here's Jeff
G you guys ready for the little people
in the
boxes hello Cupid I'm Walter damn it how
your first date go lean it up in the
backseat of the car your car no squad
car now it's asking your relationship
intent is there a check box floor land
Dan thinking L Jeff D I'm with Cupid
what's the difference between love and
lost 50 bucks the all new special
Premiere Saturday February 3r8 on Comedy
Central"
UNpOzvZPgJ4,https://www.youtube.com/shorts/UNpOzvZPgJ4,"""When you get a little rando text..."" 🎤: Nick Swardson #shorts",,591000.0,Comedy Central Stand-Up,@standup,en,"it's always a fun feeling right when you
get a little Rando
text your phone buzzes you're
like uh okay not programmed right just a
number so I get a text from like that it
was like hey what's up I'm like
H uh nothing what's up with you it's
fake into whoever it is so they replied
not much what's your plan tonight so I'm
like they have my phone number they must
know who I am so I go
I'm actually drinking a bottle of vodka
right now debating shoving it up my
 what uh what's your
plan there was a pause and they replied
oh I'm just hanging out with Uncle
Pat
yep it was my 11-year-old
niece"
